nocodb/nocodb | ★64795 | upd:2026-09-01 | lic:NOASSERTION | 🔥 🔥 🔥 A Free & Self-hostable Airtable Alternative
apitable/apitable | ★15586 | upd:2025-10-30 | lic:AGPL-3.0 | 🚀🎉📚 APITable, an API-oriented low-code platform for building collaborative apps and better than all other Airtable open-source alternatives. 
YunoHost-Apps/nocodb_ynh | ★13 | upd:2026-08-15 | lic:AGPL-3.0 | Open Source Airtable alternative, packaged for YunoHost
scooterthedev/hacktab | ★2 | upd:2026-02-22 | lic:AGPL-3.0 | An Open Source Airtable Alternative- Based upon nocoDB
NodeZ3r0/wopr-nocodb | ★0 | upd:2026-01-26 | lic:none | WOPR Module: Airtable alternative
cyclone-pro/nocodb | ★0 | upd:2026-04-05 | lic:MIT | A Free & Self-hostable Airtable Alternative
zero12a/nocodb | ★0 | upd:2022-01-31 | lic:AGPL-3.0 | 🔥 🔥 🔥 Open Source Airtable Alternative
MatthiasScholz/demo_nocodb | ★0 | upd:2024-01-09 | lic:none | Demo Airtable alternative NocoDB via Docker
fashion-looks/https-nocodb.com- | ★0 | upd:2026-06-24 | lic:Apache-2.0 | 🔥 🔥 🔥 A Free & Self-hostable Airtable Alternative
tuladhar/selfhost-nocodb | ★0 | upd:2024-10-11 | lic:GPL-3.0 | NocoDB: Open-source Airtable Alternative  - A Self-hosted Solution with Kamal
