php-sepa-xml/php-sepa-xml | ★282 | upd:2026-07-10 | lic:LGPL-3.0 | SEPA file generator in PHP
digitick/php-sepa-xml | ★106 | upd:2017-04-18 | lic:none | * THIS PROJECT IS NO LONGER MAINTAINED* SEPA file generator in PHP
dmitrirussu/php-sepa-xml-generator | ★52 | upd:2024-07-05 | lic:MIT | SEPA SDD XML Generator recommended to see. PHP SEPA XML Generator, (Single Euro Payments Area ISO20022 SDD V1_0 20122009) (SEPA)(PHP5)
w2c/sepa-sdd-xml-generator | ★43 | upd:2024-05-17 | lic:none | SEPA Direct Debit (SDD) XML Generator
mgmco/sepa-xml | ★29 | upd:2020-12-25 | lic:none | A simple XML generator for SEPA transactions.
totaler/sepa | ★17 | upd:2021-10-05 | lic:GPL-3.0 | SEPA xml generator
congressus/PySepaDD | ★12 | upd:2025-03-18 | lic:MIT | Python SEPA Direct Debit XML Generator
pierrecariou/SEPA-generator | ★9 | upd:2026-08-17 | lic:Apache-2.0 | Free desktop SEPA XML generator - create SEPA Credit Transfer (ISO 20022 pain.001.001.02/.03/.09) files from CSV or Excel, fully local. Community Edit
puccia/sepacbi | ★7 | upd:2023-05-17 | lic:none | SEPA Credit Transfer (CBI) XML generator
pepperbay/php-swift-sepa-xml | ★6 | upd:2019-08-01 | lic:none | SEPA and Swift bank transfers xml file generator
