cpatrickalves/plane-cli | ★20 | upd:2026-08-18 | lic:MIT | A command-line interface for https://plane.so, an open-source project management tool. The CLI allows you to manage projects, work items, modules, doc
hansdoebel/n8n-nodes-planeso | ★2 | upd:2026-02-14 | lic:none | n8n node for Plane.so project management
mggarofalo/plane-cli | ★2 | upd:2026-08-11 | lic:none | CLI for the Plane project management API (plane.so)
clarityreg/plane-claude-skill | ★2 | upd:2026-01-24 | lic:none | Claude Code skill for Plane.so project management - token-efficient alternative to MCP
jzakirov/openclaw-plane | ★1 | upd:2026-03-05 | lic:MIT | OpenClaw plugin for Plane.so project management
hnasheralneam/git-organized | ★1 | upd:2025-05-21 | lic:AGPL-3.0 | An open-source developer project management tool. No longer under development, would highly recommend https://plane.so/
cmet7/plane-mcp | ★0 | upd:2026-03-10 | lic:none | MCP server for Plane project management (plane.so)
xidoke/datn | ★0 | upd:2025-03-21 | lic:none | A project management fullstack application like Jira and Plane.so
cloud-in-a-bottle/bottled-plane.so | ★0 | upd:2026-08-12 | lic:none | plane.so project management instance, hosted in Cloud in a Bottle
api-evangelist/plane-so | ★0 | upd:2026-08-31 | lic:none | Plane — independent third-party profile of a public API surface, by API Evangelist. Plane is an open-source project and product management tool for pl
