ArtJack/email-agent | ★1 | upd:2026-08-10 | lic:MIT | Self-hosted AI email agent — Yahoo IMAP → local Ollama triage/summary → Telegram digest, scheduled via macOS launchd. Barron's market analysis + USPS extraction. Zero server cost, zero LLM API cost.
qiyascc/whatsapp-easy-automation | ★1 | upd:2026-07-24 | lic:MIT | Self-hosted WhatsApp bot and automation panel with a visual no-code workflow editor. Triggers from WhatsApp messages, email, Telegram and webhooks. Built on Baileys.
josephbartlett/codex-relay | ★1 | upd:2026-04-17 | lic:MIT | Slack and email control plane for local and self-hosted OpenAI Codex execution with approvals, worktree isolation, audit trails, and PR handoff.
realDragonium/postreeve | ★0 | upd:2026-08-31 | lic:Apache-2.0 | A self-hosted email client for humans and agents, with IMAP, WebMCP, and safe, reviewable automation.
edge-tec/open-source-email | ★0 | upd:2026-05-29 | lic:none | The platform provides a complete self-hosted email server solution with SMTP, IMAP, webmail, multi-domain support, spam filtering, SSL automation, and modern SaaS management tools.
sheham14/shoutreach | ★0 | upd:2026-08-18 | lic:none | Self-hosted cold email automation platform with SMTP/IMAP campaign management, deliverability safeguards, and scheduling, built for agency outreach
martystephan/autoMail | ★0 | upd:2026-07-25 | lic:MIT | Self-hosted email automation tool for moving emails between accounts automatically. Supports IMAP and Microsoft OAuth with a simple web UI and Docker deployment.
api-evangelist/emailengine | ★0 | upd:2026-08-30 | lic:none | EmailEngine — independent third-party profile of a public API surface, by API Evangelist. EmailEngine is a self-hosted email automation platform that provides a unified REST API for accessing email accounts via IMAP, SMTP, the Gmail API, and the Microsoft Graph API. It exposes JSON payloads, real-time webhooks, OAuth2 integration, an IMAP/SMTP prox
palhamel/mailfilter-ai | ★0 | upd:2026-08-31 | lic:MIT | AI-powered self-hosted email filter. Great for any type of digest emails like job ads, newsletters, property listings, freelance gigs. Anything where you get bulk emails and only care about a few. Can also be used to filter out spam emails.
waseemnasir2k26/ai-inbox-triage-starter | ★0 | upd:2026-08-27 | lic:MIT | Free AI inbox triage starter kit - one n8n workflow that classifies every incoming email into urgent, lead, invoice, newsletter or other and writes reply drafts you approve. Drafts-only by design: nothing ever auto-sends. Self-hosted or n8n Cloud.
